,0.005,0.01,0.015,0.02,0.025,0.03,0.035,0.04,0.045,0.05,0.055,0.06,0.065,0.07,
100,1439.868421,540.3384615,409.12,296.7636364,329.0384615,299.97,311.3393939,329.0782609,332.7055556,344.1794118,600.9673469,1102.998214,2123.118391,4796.8775,
150,1037.779167,483.935,352.8444444,250.7454545,276.9136364,370,263.9409091,293.315,281.54,298.0090909,385.16,367.590625,798.7775862,1354.468519,
200,685.5,533.6181818,360.1055556,276.65,255.3071429,250.775,252.6590909,288.16,258.9769231,288.7071429,276.0714286,420.0333333,505.2470588,750.42,
250,650.1970588,406.9767442,326.3209302,258.1705882,249.4333333,294.52,216.375,254.4772727,277.45,246.3692308,309.9181818,362.9434783,561.2458333,683.7560976,
300,518.995082,375.3903226,279.2808511,263.4692308,247.46,261.1173913,465.3580645,286.0727273,249.8384615,266.49,305.2809524,329.54,492.65,670.8731707,
350,409.4466667,308.0421053,315.035,244.0090909,242.4238095,211.9714286,294.1769231,206.67,290.465,286.3714286,324.225,370.6416667,439.4272727,557.34,
400,452.8511111,260.2375,288.272973,227.4894737,209.7181818,215.996875,243.0225806,253.75,276.4045455,240.57,257.79,364.8083333,340.1388889,538.9454545,
450,330.2983051,229.8484848,238.6210526,248.1481481,217.05625,174.46,253.9076923,212.99,252.2909091,266.61,291.98,307.0761905,549.9571429,642.6631579,
500,311.2611111,227.3432432,217.9375,199.25,219.17,211.95,227.2,261.8625,274.78,228.59,292.2411765,367.39,432.425,596.9714286,
550,357.532,287.4242424,252.2864865,218.237931,268.2675676,214.3090909,308.1181818,292.35,255.83,280.5,311.3,363.6583333,500.5809524,561.0071429,
600,336.4121622,293.5933333,224.27,249.0176471,193.25,230.96,262.93,262.87,286.61,282.5181818,284.4363636,425.4866667,442.4,524.3611111,
650,179.15,179.64,247.97,220.11,196.85,239.24,375.12,255.44,264.72,297.01,326.03,391.15,505.6166667,480.99375,
700,261.1,295.7090909,197.4,247.58,230.71,234.5,324.14,270.92,356.5846154,304.73,351.2833333,385.2294118,386.69,493.0894737,
750,327.0260274,243.99,252.16,250.8869565,272.96,212.43,298.54,289.27,301.62,314.34,325.8,372.31,442.97,468.0428571,
800,311.1868421,220.4,311.0875,252.08,265.07,237.46,402.49,307.14,308.77,338.96,402.59,382.1916667,433.69,532.925,
850,268.6703125,293.35,237.47,260.0705882,323.2,242.97,400.51,348.24,311.575,340.94,368.09,437.51,429.3416667,509.4571429,
900,403.3241379,306.0621622,272.9285714,261.36,283,312.5727273,335.4,345.01,346.21,349.92,363.75,390.2,583.35,665.04,
950,398.38,299.52,254.61,280.6952381,265.92,288.74,444.62,340.65,302.42,364.3545455,385.98,452.74,590.8095238,653.52,
1000,592.1631579,350.35,331.41,276.28,297.05,328.94,355.1,327.23,376.53,369.39,423.26,496.57,536.66,610.17,
